Date,Shipment,Mode,Product,SI QTY,QTY,Total Packages,Standard Total,Boxes Total,Warp Total,Returnable Total,Ratio Standard,Ratio Boxes,Ratio Warp,Ratio Returnable,110x110x115 QTY,110x110x90 QTY,110x110x65 QTY,80X120X115 QTY,80X120X90 QTY,80X120X65 QTY,42X46X68 QTY,47X66X68 QTY,53X53X58 QTY,57X64X84 QTY,68X74X86 QTY,70X100X90 QTY,27X27X22 QTY,53X53X19 QTY,WARP QTY,UNIT QTY,RETURNABLE QTY,Remark
09-02-2021,FEA,AIRCRAFT,INVERTER,1,6,1,0,1,0,0,0.00,0.33,0.00,0.00,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,FEA DRIVE ROA
09-02-2021,FEC,VESSEL,TEMPERATURE CONTROL,1,595,4,1,3,0,0,1.00,1.00,0.00,0.00,1,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,
10-02-2021,FEE,AIRCRAFT,INVERTER,1,75,1,1,0,0,0,1.00,0.00,0.00,0.00,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
10-02-2021,FEE,VESSEL,INVERTER,12,439,38,0,4,24,10,0.00,1.33,2.40,5.00,0,0,0,0,0,0,1,1,0,1,0,1,0,0,24,0,10,
10-02-2021,FEC,AIRCRAFT,TEMPERATURE CONTROL,1,15,1,0,1,0,0,0.00,0.33,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,
10-02-2021,FEI,AIRCRAFT,INVERTER,3,690,7,5,2,0,0,5.00,0.67,0.00,0.00,4,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,
10-02-2021,FEID,VESSEL,INVERTER,2,20,2,0,2,0,0,0.00,0.67,0.00,0.00,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,
11-02-2021,FEI,AIRCRAFT,INVERTER,9,1298,20,11,9,0,0,11.00,3.00,0.00,0.00,7,4,0,0,0,0,2,2,0,1,1,3,0,0,0,0,0,
11-02-2021,FEI,VESSEL,INVERTER,4,12,5,0,3,2,0,0.00,1.00,0.20,0.00,0,0,0,0,0,0,0,1,0,1,1,0,0,0,2,0,0,
12-02-2021,FAP,VESSEL,INVERTER,8,82,11,1,10,0,0,1.00,3.33,0.00,0.00,1,0,0,0,0,0,2,1,0,0,0,7,0,0,0,0,0,
